School,District,Score,Avg. Score
Upper Sumas,Abbotsford,6.3,6.9
Oliver,Oliver,6.3,6.8
Kaleden,Kaleden,6.3,6.6
A J McLellan,Surrey,6.3,6.3
Charlie Lake,Charlie Lake,6.3,6.3
Deep Cove,Sidney,6.3,6.3
Holly,Delta,6.3,6.3
Dogwood,Surrey,6.3,6.2
Sherwood Park,North Vancouver,6.3,5.9
Mitchell,Richmond,6.3,5.8
Tremblay,Dawson Creek,6.3,5.4
Horse Lake,Lone Butte,6.3,5.2
Alex Aitken,Duncan,6.3,4.9
Clearview,Fort St John,6.3,n/a
Glenwood,Langley,6.3,n/a
Henry Hudson,Vancouver,6.3,n/a
Lord Nelson,Vancouver,6.3,n/a
Windermere,Windermere,6.3,n/a
Twain Sullivan,Houston,6.2,7.6
Aspenwood,Port Moody,6.2,7.1
Nelson,Burnaby,6.2,7.1
Walton,Coquitlam,6.2,7
Samuel Brighouse,Richmond,6.2,6.9
William Cook,Richmond,6.2,6.7
Columbia,Penticton,6.2,6.5
Beattie,Kamloops,6.2,6.4
Northridge,Victoria,6.2,6.3
Robert J Tait,Richmond,6.2,6.3
General Gordon,Vancouver,6.2,6.2
South Park,Delta,6.2,6.2
Evans,Chilliwack,6.2,6.1
Sardis,Chilliwack,6.2,6
William Watson,Surrey,6.2,5.8
Bastion,Salmon Arm,6.2,5.7
Ridgeway,North Vancouver,6.2,5.5
Thomas Kidd,Richmond,6.2,5.2
Moody,Port Moody,6.2,5.1
Ranch Park,Coquitlam,6.2,5
Morley,Burnaby,6.2,4.9
Bothwell,Surrey,6.2,n/a
Goldstone,Surrey,6.2,n/a
Katzie,Surrey,6.2,n/a
Lynnmour,North Vancouver,6.2,n/a
Qayqayt,New Westminster,6.2,n/a
Sir John Franklin,Vancouver,6.2,n/a
Suncrest,Burnaby,6.2,n/a
Myrtle Philip,Whistler,6.1,7.6
Dr F D Sinclair,Surrey,6.1,6.9
James L Webster,Trail,6.1,6.7
Kidston,Coldstream,6.1,6.7
John A. Hutton,Grand Forks,6.1,6.6
Dorothea Walker,Kelowna,6.1,6.5
Harbour View,Coquitlam,6.1,6.5
Cawston,Cawston,6.1,6.3
Pauline Haarer,Nanaimo,6.1,6.3
Twelfth Avenue,Burnaby,6.1,6.3
Rogers,Victoria,6.1,6.2
Glenmore,Kelowna,6.1,6.1
Latimer Road,Surrey,6.1,6.1
Stuart Wood,Kamloops,6.1,6.1
English Bluff,Delta,6.1,6
Hillcrest,Surrey,6.1,5.9
Quigley,Kelowna,6.1,5.8
Roy Stibbs,Coquitlam,6.1,5.8
Brooksbank,North Vancouver,6.1,5.7
Rayleigh,Kamloops,6.1,5.7
Aspen Park,Comox,6.1,5.6
Vermilion Forks,Princeton,6.1,5.6
Westerman,Surrey,6.1,5.6
Little Mountain,Chilliwack,6.1,5.3
Hastings,Vancouver,6.1,4.9
Newton,Surrey,6.1,4.8
Sullivan,Surrey,6.1,n/a
Hammond Bay,Nanaimo,6,7.2
Montecito,Burnaby,6,7.1
James Whiteside,Richmond,6,6.9
Alice Brown,Langley,6,6.1
Glenmerry,Trail,6,6.1
Heritage Christian,Kelowna,6,6.1
Irvine,Port Coquitlam,6,6
Oaklands,Victoria,6,6
South Kelowna,Kelowna,6,5.9
Bonaccord,Surrey,6,5.5
Riverdale,Surrey,6,5.4
Roberts Creek,Roberts Creek,6,5.4
Hazel Trembath,Port Coquitlam,6,5.2
Centennial Christian,Terrace,6,n/a
Neilson Grove,Delta,6,n/a
Dorothy Lynas,North Vancouver,5.9,6.8
Strawberry Vale,Victoria,5.9,6.8
Kanaka Creek,Maple Ridge,5.9,6.6
Baker Drive,Coquitlam,5.9,6.2
Columbia Park,Revelstoke,5.9,6
Wood,Port Alberni,5.9,6
Sunnyside,Surrey,5.9,5.9
Hillview,Vernon,5.9,5.7
Ross Road,North Vancouver,5.9,5.7
Vanway,Prince George,5.9,5.6
Lord Baden-Powell,Coquitlam,5.9,5.5
Anne Hebert,Vancouver,5.9,5.4
Robert Ogilvie,Fort St John,5.9,5.3
Sir Richard McBride,Vancouver,5.9,5.3
Glen,Coquitlam,5.9,5.2
Silver Star,Vernon,5.9,5.2
George Jay,Victoria,5.9,3.5
Cedar Drive,Port Coquitlam,5.9,n/a
Clayton,Surrey,5.9,n/a
Edgewood,Prince George,5.9,n/a
H T Thrift,Surrey,5.9,n/a
Kelset,North Saanich,5.9,n/a
Silverdale,Mission,5.9,n/a
Queen Elizabeth,Vancouver,5.8,6.4
Clearbrook,Abbotsford,5.8,6.3
Cliff Drive,Delta,5.8,6.1
Coquitlam River,Port Coquitlam,5.8,6.1
Douglas Road,Burnaby,5.8,6.1
Dufferin,Kamloops,5.8,6
Hatzic,Mission,5.8,5.8
John MacLure,Abbotsford,5.8,5.8
John Norquay,Vancouver,5.8,5.8
J.W. Sexsmith,Vancouver,5.8,5.7
Surrey Centre,Surrey,5.8,5.7
Woodland Park,Surrey,5.8,5.7
Tecumseh,Vancouver,5.8,5.6
Pacific Heights,Surrey,5.8,5.5
Brackendale,Brackendale,5.8,5.4
Hart Highlands,Prince George,5.8,5.4
George Pringle,Westbank,5.8,5.2
Mountain View,Nanaimo,5.8,5.2
Gabrielle-Roy,Surrey,5.8,5.1
Sunset,Port McNeill,5.8,4.3
Coquihalla,Hope,5.8,3.7
Adams Road,Surrey,5.8,n/a
John Paul II,Port Alberni,5.8,n/a
McBride Centennial,McBride,5.8,n/a
Naramata,Naramata,5.8,n/a
West Bench,Penticton,5.8,n/a
Chute Lake,Kelowna,5.7,6.5
Greendale,Chilliwack,5.7,6.2
Larson,North Vancouver,5.7,6.1
Martha Currie,Surrey,5.7,5.9
Blacklock,Langley,5.7,5.8
Brookside,Surrey,5.7,5.8
McGirr,Nanaimo,5.7,5.7
Dormick Park,Abbotsford,5.7,5.6
Departure Bay,Nanaimo,5.7,5.5
Steeples,Cranbrook,5.7,5.5
Giant's Head,Summerland,5.7,5.4
Leigh,Coquitlam,5.7,5.4
J W Inglis,Lumby,5.7,5.2
G T Cunningham,Vancouver,5.7,5
Beaver Creek,Surrey,5.7,4.9
Lord Roberts,Vancouver,5.7,4.9
Pearson Road,Kelowna,5.7,4.4
Blewett,Nelson,5.7,n/a
General Brock,Vancouver,5.7,n/a
Sir William Van Horne,Vancouver,5.7,n/a
Uplands,Langley,5.7,n/a
Valemount,Valemount,5.7,n/a
Anne McClymont,Kelowna,5.6,7.3
Gilmore,Burnaby,5.6,6.5
Marigold,Victoria,5.6,6.3
Watson Road,Kelowna,5.6,6.1
Hazelgrove,Surrey,5.6,6
Prospect Lake,Victoria,5.6,6
Tyson,Chilliwack,5.6,6
Arthur Stevenson,Kamloops,5.6,5.9
Jackson,Abbotsford,5.6,5.9
Sidney,Sidney,5.6,5.9
